generation,max_fitness,avg_fitness,std_dev
1,790.7,54.08132000000037,162.90934540786137
2,790.7,79.72256000000027,209.2849226890622
3,791.3000000000001,125.21988000000002,269.4266643714122
4,791.3000000000001,206.75396000000023,312.653111983103
5,791.3000000000001,275.3536800000003,350.93215858096823
6,791.3000000000001,366.4240800000007,377.4170055322812
7,791.3000000000001,352.80827999999997,367.5960950049408
8,791.3000000000001,320.6520400000006,371.9268958482012
9,791.3000000000001,420.8754800000004,384.47580218969546
10,791.3000000000001,355.3392000000002,373.1426082449444
11,791.3000000000001,328.3934000000003,369.8936359241128
12,791.3000000000001,233.4772,348.1642674143342
13,791.3000000000001,368.68252,377.96712295665293
14,791.3000000000001,335.30784000000034,362.48654215125634
15,791.3000000000001,312.48748,367.50409246609706
16,791.3000000000001,348.7146400000005,382.73454362112466
17,791.3000000000001,373.43076000000025,379.3465389530562
18,791.3000000000001,367.28344,377.35971967851367
19,791.3000000000001,343.51904000000025,369.3152108027484
20,791.3000000000001,335.1829200000001,373.2298789252994
21,791.3000000000001,269.9256399999998,343.83843718134585
22,791.3000000000001,265.9137200000001,360.5905653758591
23,791.3000000000001,255.19972000000013,352.9885893358051
24,791.3000000000001,292.2741600000003,367.0798438565302
25,791.3000000000001,262.21119999999996,356.4255240023082
26,791.3000000000001,366.47816000000023,378.5641394314767
27,791.3000000000001,314.6201600000002,371.76718081677757
28,791.3000000000001,277.6093599999999,358.78901841844373
29,791.3000000000001,337.97756000000004,371.995197161101
30,791.3000000000001,337.97756000000004,371.995197161101
31,791.3000000000001,269.9256399999998,343.83843718134585
32,791.3000000000001,265.9137200000001,360.5905653758591
33,791.3000000000001,255.19972000000013,352.9885893358051
34,791.3000000000001,292.2741600000003,367.0798438565302
35,791.3000000000001,262.21119999999996,356.4255240023082
36,791.3000000000001,366.47816000000023,378.5641394314767
37,791.3000000000001,314.6201600000002,371.76718081677757
38,791.3000000000001,277.6093599999999,358.78901841844373
39,791.3000000000001,337.97756000000004,371.995197161101
40,791.3000000000001,337.97756000000004,371.995197161101
